ContainerID,cycle_duration_days,Avg_Dist,Spearman,collection_fill_percentage,avg_daily_fill_growth,overflow_flag
1000,21,79.15,52.46908576850801,100.0,4.761904761904762,1
1000,4,76.65517241379311,69.52884784001824,44.0,11.0,0
1000,7,79.07692307692308,83.87546378542577,72.0,10.285714285714286,0
1000,8,75.90322580645162,82.81513230102533,100.0,12.5,1
1000,6,87.66666666666667,77.23025685921158,100.0,16.666666666666668,1
1000,4,77.10344827586206,73.82839856996543,71.0,17.75,0
1000,7,77.5,72.10941129452614,100.0,14.285714285714286,1
1000,10,72.81818181818181,87.08613734553519,73.0,7.3,0
1000,8,64.66666666666666,82.428132559178,100.0,12.5,1
1000,10,89.125,93.35394464416,100.0,10.0,1
1000,7,84.11111111111111,92.1022304261688,88.0,12.571428571428571,1
1000,7,74.08695652173913,62.392455031001305,100.0,14.285714285714286,1
1000,7,80.4090909090909,87.16075896265998,100.0,14.285714285714286,1
1000,7,79.45454545454545,84.96217947941366,100.0,14.285714285714286,1
1000,7,73.2,75.55980698695316,100.0,14.285714285714286,1
1000,7,88.78947368421052,92.53089861189284,100.0,14.285714285714286,1
1000,7,85.94736842105263,94.12550168269875,90.5,12.928571428571429,1
1000,7,88.28571428571429,88.9912791108485,100.0,14.285714285714286,1
1000,7,85.61538461538461,86.77718878246561,100.0,14.285714285714286,1
1000,7,38.5,31.25079420857684,100.0,14.285714285714286,1
1000,15,79.75,79.98571557755058,100.0,6.666666666666667,1
1000,8,80.6,91.50083722884789,100.0,12.5,1
1000,9,81.05263157894737,81.39061913228335,100.0,11.11111111111111,1
1000,6,97.33333333333331,96.6240492659655,74.5,12.416666666666666,0
1000,4,96.44444444444444,96.1919879757386,70.0,17.5,0
1000,4,95.6,77.9199761307608,55.0,13.75,0
1000,5,81.0,88.40303063880603,73.0,14.6,0
1000,7,90.4,88.84730095773006,100.0,14.285714285714286,1
1000,5,86.36842105263158,93.1643019974628,71.0,14.2,0
1000,6,87.25,69.37890061948013,100.0,16.666666666666668,1
1000,5,70.85714285714286,75.46872213874391,55.0,11.0,0
1000,9,87.08333333333333,89.12335563945798,100.0,11.11111111111111,1
1000,5,97.63636363636364,92.48587115682248,57.0,11.4,0
1000,6,62.67857142857143,68.13766821091937,76.0,12.666666666666666,0
1000,8,97.5,80.0,64.0,8.0,0
1000,2,82.58823529411765,83.78403668046028,32.0,16.0,0
1000,4,81.66666666666667,88.73789955234696,100.0,25.0,1
1000,7,87.6923076923077,92.01136842331276,89.0,12.714285714285714,1
1000,5,85.42857142857143,91.89562119494704,78.0,15.6,0
1000,2,81.25,78.59697505212043,88.0,44.0,1
1000,6,68.37931034482759,82.25552965432252,85.5,14.25,1
1000,7,84.25,92.16877922325388,100.0,14.285714285714286,1
1000,7,76.26086956521739,74.85784539259389,100.0,14.285714285714286,1
1000,6,69.96296296296296,64.79898755976468,100.0,16.666666666666668,1
1000,8,87.57142857142857,86.53870714180691,100.0,12.5,1
1000,7,85.78947368421052,82.541816906741,100.0,14.285714285714286,1
1000,7,74.67857142857143,74.36585843582442,76.0,10.857142857142858,0
1000,7,77.16666666666667,80.03769597387515,100.0,14.285714285714286,1
1000,7,78.36842105263158,83.52920833163276,100.0,14.285714285714286,1
1000,6,79.125,85.01025505955529,63.0,10.5,0
1000,14,92.92307692307692,93.09534348850632,100.0,7.142857142857143,1
1000,5,88.66666666666667,82.35584906796976,100.0,20.0,1
1000,3,92.55555555555556,92.7869618527036,45.5,15.166666666666666,0
1000,4,78.35294117647058,78.7699616087147,69.5,17.375,0
1000,7,95.33333333333331,88.27348295047494,77.5,11.071428571428571,0
1000,3,91.33333333333331,91.5385729888094,61.0,20.333333333333332,0
1000,4,91.71428571428572,94.56108576893006,51.5,12.875,0
1000,4,88.875,83.84586528160266,57.5,14.375,0
1000,7,76.4090909090909,87.22457500494477,100.0,14.285714285714286,1
1000,7,72.76190476190476,76.57775748267912,100.0,14.285714285714286,1
1000,7,81.26315789473685,87.87359792202548,100.0,14.285714285714286,1
1000,7,89.71428571428571,93.70308757062716,90.0,12.857142857142858,1
1000,7,93.0,93.29543706664492,87.5,12.5,1
1000,4,100.0,97.46794344808964,71.0,17.75,0
1000,4,76.05263157894737,80.53710033229841,36.0,9.0,0
1000,7,90.85714285714286,82.19112237182534,100.0,14.285714285714286,1
1000,10,75.5909090909091,72.91345417481921,100.0,10.0,1
1000,7,96.125,89.61272244559315,100.0,14.285714285714286,1
1000,4,89.25,91.3223320977314,39.0,9.75,0
1000,3,87.6,83.34762598987156,80.0,26.666666666666668,1
1000,3,77.4090909090909,83.87702136492271,56.0,18.666666666666668,0
1000,7,83.47826086956522,92.85494218411554,100.0,14.285714285714286,1
1000,7,70.45833333333333,76.94697666674378,100.0,14.285714285714286,1
1000,7,88.0,94.36853723733584,88.5,12.642857142857142,1
1000,3,73.77272727272728,80.95490994441536,100.0,33.333333333333336,1
1000,7,79.81818181818181,84.99467814590368,100.0,14.285714285714286,1
1000,7,88.82352941176471,89.73232392791304,90.0,12.857142857142858,1
1000,7,81.5909090909091,87.19967859370408,100.0,14.285714285714286,1
1000,7,77.8,90.5628005781728,100.0,14.285714285714286,1
1000,7,74.0,82.06728209522433,100.0,14.285714285714286,1
1000,7,88.61538461538461,79.33799724673449,86.0,12.285714285714286,1
1000,4,78.53333333333333,89.24044505160424,49.0,12.25,0
1000,7,81.63636363636364,89.81347290680131,100.0,14.285714285714286,1
1000,4,68.75,78.60688149015907,100.0,25.0,1
